,School,City,County,Religion
0,Alameda Community Learning Center,Alameda,alameda,None
1,Alameda High School,Alameda,alameda,None
2,Alameda Science and Technology Institute,Alameda,alameda,None
3,Encinal High School,Alameda,alameda,None
4,Island High School,Alameda,alameda,None
5,Albany High School,Alameda,alameda,None
6,MacGregor High School,Alameda,alameda,None
7,Berkeley High School,Alameda,alameda,None
8,Castro Valley High School,Alameda,alameda,None
9,Redwood Alternative High School,Alameda,alameda,None
10,Dublin High School,Alameda,alameda,None
11,Emery Secondary School,Alameda,alameda,None
12,American High School,Alameda,alameda,None
13,Irvington High School,Alameda,alameda,None
14,John F. Kennedy High School,Alameda,alameda,None
15,Mission San Jose High School,Alameda,alameda,None
16,Washington High School,Alameda,alameda,None
17,Hayward High School,Alameda,alameda,None
18,Mount Eden High School,Alameda,alameda,None
19,Sunset High School,Alameda,alameda,None
20,Tennyson High School,Alameda,alameda,None
21,Granada High School,Alameda,alameda,None
22,Livermore High School,Alameda,alameda,None
23,Conley-Caraballo High School,Hayward,alameda,None
24,James Logan High School,Union City,alameda,None
25,Newark Memorial High School,Alameda,alameda,None
26,Bay Area Technology School,Alameda,alameda,None
27,Castlemont Community of Small Schools,Alameda,alameda,None
28,Fremont Federation of High Schools,Alameda,alameda,None
29,McClymonds Educational Complex,Alameda,alameda,None
30,Oakland High School,Alameda,alameda,None
31,Oakland International High School,Alameda,alameda,None
32,Oakland Military Institute,Alameda,alameda,None
33,Oakland School for the Arts,Alameda,alameda,None
34,Oakland Technical High School,Alameda,alameda,None
35,Skyline High School,Alameda,alameda,None
36,University Preparatory Charter Academy,Alameda,alameda,None
37,Millennium High School,Alameda,alameda,None
38,Piedmont High School,Alameda,alameda,None
39,Amador Valley High School,Alameda,alameda,None
40,Foothill High School,Alameda,alameda,None
41,Horizon High School,Alameda,alameda,None
42,Village High School,Alameda,alameda,None
43,Lincoln High School,Alameda,alameda,None
44,San Leandro High School,Alameda,alameda,None
45,Arroyo High School,Alameda,alameda,None
46,San Lorenzo High School,Alameda,alameda,None
47,Bishop O'Dowd High School,Oakland,alameda,Christian
48,Holy Names High School,Oakland,alameda,Christian
49,Moreau Catholic High School,Hayward,alameda,Christian
50,St. Elizabeth High School,Oakland,alameda,Christian
51,St. Joseph Notre Dame High School,Alameda,alameda,Christian
52,St. Mary's College High School,Albany,alameda,Christian
53,Alameda Community Learning Center,Alameda,alameda,Christian
54,Averroes High School,Fremont,alameda,Christian
55,Chinese Christian Schools,San Leandro,alameda,Christian
56,The College Preparatory School,Oakland,alameda,Christian
57,Emery High School,Emeryville,alameda,Christian
58,Head-Royce School,Oakland,alameda,Christian
59,Maybeck High School,Berkeley,alameda,Christian
60,The Quarry Lane School,Dublin,alameda,Christian
61,Valley Christian School,Dublin,alameda,Christian
62,Bear Valley High School,Bear Valley,alpine,Christian
63,Woodfords High School,Markleeville,alpine,Christian
64,Amador High School,Sutter Creek,amador,Christian
65,Argonaut High School,Jackson,amador,Christian
66,Biggs High School,Biggs,butte,Christian
67,Chico High School,Chico,butte,Christian
68,Couture High School,Oroville,butte,Christian
69,Durham High School,Durham,butte,Christian
70,Gridley High School,Gridley,butte,Christian
71,Las Plumas High School,Oroville,butte,Christian
72,Oroville High School,Oroville,butte,Christian
73,Paradise High School,Paradise,butte,Christian
74,Pleasant Valley High School,Chico,butte,Christian
75,Arnold High School,Arnold,calaveras,Christian
76,Bret Harte Union High School,Angels Camp,calaveras,Christian
77,Calaveras High School,San Andreas,calaveras,Christian
78,Copper Cove High School,Copperopolis,calaveras,Christian
79,Colusa High School,Colusa,colusa,Christian
80,Maxwell High School,Maxwell,colusa,Christian
81,Pierce High School,Sudhir,colusa,Christian
82,Williams High School,Williams,colusa,Christian
83,Acalanes High School,Lafayette,contra costa,Christian
84,Campolindo High School,Moraga,contra costa,Christian
85,Las Lomas High School,Walnut Creek,contra costa,Christian
86,Miramonte High School,Orinda,contra costa,Christian
87,Antioch High School,Antioch,contra costa,Christian
88,Deer Valley High School,Antioch,contra costa,Christian
89,Dozier-Libbey Medical High School,Antioch,contra costa,Christian
90,John Swett High School,Crockett,contra costa,Christian
91,Willow High School,Crockett,contra costa,Christian
92,Clayton Valley High School,Concord,contra costa,Christian
93,College Park High School,Pleasant Hill,contra costa,Christian
94,Concord High School,Concord,contra costa,Christian
95,Mount Diablo High School,Concord,contra costa,Christian
96,Northgate High School,Walnut Creek,contra costa,Christian
97,Ygnacio Valley High School,Concord,contra costa,Christian
98,De Anza High School,Richmond,contra costa,Christian
99,El Cerrito High School,El Cerrito,contra costa,Christian
100,Hercules High School,Hercules,contra costa,Christian
101,Kennedy High School,Richmond,contra costa,Christian
102,Middle College High School,San Pablo,contra costa,Christian
103,Pinole Valley High School,Pinole,contra costa,Christian
104,Richmond High School,Richmond,contra costa,Christian
105,Alhambra High School,Martinez,contra costa,Christian
106,The Athenian School,Danville,contra costa,Christian
107,Bentley School,Lafayette,contra costa,Christian
108,Berean Christian High School,Walnut Creek,contra costa,Christian
109,California High School,San Ramon,contra costa,Christian
110,Carondelet High School,Concord,contra costa,Christian
111,Christ the King Catholic School,Pleasant Hill,contra costa,Christian
112,De La Salle High School,Concord,contra costa,Christian
113,Delta Christian Junior/Senior High School,Antioch,contra costa,Christian
114,Dougherty Valley High School,San Ramon,contra costa,Christian
115,El Sobrante Christian School,El Sobrante,contra costa,Christian
116,Freedom High School,Oakley,contra costa,Christian
117,Heritage High School,Brentwood,contra costa,Christian
118,Holden High School,Orinda,contra costa,Christian
119,Independence High School,Brentwood,contra costa,Christian
120,Liberty High School,Brentwood,contra costa,Christian
121,Monte Vista High School,Danville,contra costa,Christian
122,Orinda Academy,Orinda,contra costa,Christian
123,Pittsburg High School,Pittsburg,contra costa,Christian
124,Pleasant Hill Adventist Academy,Pleasant Hill,contra costa,Christian
125,Salesian College Preparatory,Richmond,contra costa,Christian
126,San Ramon Valley High School,Danville,contra costa,Christian
127,Del Norte High School,Crescent City,del norte,Christian
128,El Dorado Adventist School,Placerville,el dorado,Christian
129,El Dorado High School,Placerville,el dorado,Christian
130,Golden Sierra High School,Garden Valley,el dorado,Christian
131,Muir Charter School,Placerville,el dorado,Christian
132,Oak Ridge High School,El Dorado Hills,el dorado,Christian
133,Ponderosa High School,Shingle Springs,el dorado,Christian
134,Shenandoah High School,El Dorado,el dorado,Christian
135,South Tahoe High School,South Lake Tahoe,el dorado,Christian
136,Union Mine High School,El Dorado,el dorado,Christian
137,Vista High School,Placerville,el dorado,Christian
138,Buchanan High School,Clovis,fresno,Christian
139,Clovis East High School,Clovis,fresno,Christian
140,Clovis High School,Clovis,fresno,Christian
141,Clovis North High School,Fresno,fresno,Christian
142,Clovis West High School,Fresno,fresno,Christian
143,Bullard High School,Fresno,fresno,Christian
144,The Center for Advanced Research and Technology,Fresno,fresno,Christian
145,Erma Duncan Polytechnical High School,Fresno,fresno,Christian
146,Edison High School,Fresno,fresno,Christian
147,Fresno High School,Fresno,fresno,Christian
148,Herbert Hoover High School,Fresno,fresno,Christian
149,McLane High School,Fresno,fresno,Christian
150,Roosevelt High School,Fresno,fresno,Christian
151,Sunnyside High School,Fresno,fresno,Christian
152,Ambassador Phillip V. Sanchez Public Charter,Fresno,fresno,Christian
153,Ambassador Phillip V. Sanchez Public Charter,Fresno,fresno,Christian
154,Ambassador Phillip V. Sanchez Public Charter,Mendota,fresno,Christian
155,Ambassador Phillip V. Sanchez Public Charter,Parlier,fresno,Christian
156,Carter G. Woodson Public Charter School,Fresno,fresno,Christian
157,Caruthers High School,Caruthers,fresno,Christian
158,Central High School,Fresno,fresno,Christian
159,Charter Academy of Ambassador Phillip V. Sanchez,Fresno,fresno,Christian
160,Coalinga High School,Coalinga,fresno,Christian
161,Crescent View South Public Charter,Clovis,fresno,Christian
162,Crescent View South Public Charter,Fresno,fresno,Christian
163,Crescent View West Public Charter,Fresno,fresno,Christian
164,Dewolf West High School,Fresno,fresno,Christian
165,Firebaugh High School,Firebaugh,fresno,Christian
166,Fowler High School,Fowler,fresno,Christian
167,Fresno Prep Academy,Fresno,fresno,Christian
168,Immanuel High School,Reedley,fresno,Christian
169,Kerman High School,Kerman,fresno,Christian
170,Kingsburg High School,Kingsburg,fresno,Christian
171,Laton High School,Laton,fresno,Christian
172,Mendota High School,Mendota,fresno,Christian
173,New Millennium Charter School,Fresno,fresno,Christian
174,Parlier High School,Parlier,fresno,Christian
175,Reedley High School,Reedley,fresno,Christian
176,Riverdale High School,Riverdale,fresno,Christian
177,San Joaquin Memorial High School,Fresno,fresno,Christian
178,Sanger High School,Sanger,fresno,Christian
179,School of Unlimited Learning,Fresno,fresno,Christian
180,Selma High School,Selma,fresno,Christian
181,Sierra High School,Tollhouse,fresno,Christian
182,Tranquillity High School,Tranquility,fresno,Christian
183,University High School,Fresno,fresno,Christian
184,Washington Union High School,Fresno,fresno,Christian
185,Elk Creek Junior-Senior High School,Elk Creek,glenn,Christian
186,Hamilton Union High School,Hamilton City,glenn,Christian
187,Orland High School,Orland,glenn,Christian
188,Princeton Junior-Senior High School,Princeton,glenn,Christian
189,Willows High School,Willows,glenn,Christian
190,Academy of the Redwoods Early college high school,Fortuna,humboldt,Christian
191,Arcata High School,Arcata,humboldt,Christian
192,Eureka High School,Eureka,humboldt,Christian
193,Ferndale High School,Ferndale,humboldt,Christian
194,Fortuna Union High School,Fortuna,humboldt,Christian
195,Hoopa Valley High School,Hoopa,humboldt,Christian
196,Humboldt Bay High School,Eureka,humboldt,Christian
197,Mattole Triple Junction High School,Petrolia,humboldt,Christian
198,McKinleyville High School,McKinleyville,humboldt,Christian
199,St. Bernard's High School,Eureka,humboldt,Christian
200,South Fork High School,Miranda,humboldt,Christian
201,Brawley  North County High School,Brawley,imperial,Christian
202,Brawley Union High School,Brawley,imperial,Christian
203,Calexico High School,Calexico,imperial,Christian
204,Calipatria High School,Calipatria,imperial,Christian
205,Central Union High School,El Centro,imperial,Christian
206,De Anza High School,Calexico,imperial,Christian
207,Desert Valley High School,Brawley,imperial,Christian
208,Holtville High School,Holtville,imperial,Christian
209,Imperial High School,Imperial,imperial,Christian
210,San Pasqual Valley High School,Winterhaven,imperial,Christian
211,Southwest High School,El Centro,imperial,Christian
212,Vincent Memorial High School,Calexico,imperial,Christian
213,West Shores High School,Salton City,imperial,Christian
214,Big Pine High School,Big Pine,inyo,Christian
215,Bishop High School,Bishop,inyo,Christian
216,Death Valley Academy,Shoshone,inyo,Christian
217,Lone Pine High School,Lone Pine,inyo,Christian
218,Owens Valley High School,Independence,inyo,Christian
219,Arvin High School,Arvin,kern,Christian
220,Bakersfield Christian High School,Bakersfield,kern,Christian
221,Bakersfield High School,Bakersfield,kern,Christian
222,Boron Junior-Senior High School,Boron,kern,Christian
223,Burroughs High School,Ridgecrest,kern,Christian
224,Centennial High School,Bakersfield,kern,Christian
225,Central Valley High School,Bakersfield,kern,Christian
226,Cesar E. Chavez High School,Delano,kern,Christian
227,Delano High School,Delano,kern,Christian
228,Desert Junior/Senior High School,Edwards,kern,Christian
229,East Bakersfield High School,Bakersfield,kern,Christian
230,Foothill High School,Bakersfield,kern,Christian
231,Frazier Mountain High School,Lebec,kern,Christian
232,Frontier High School,Bakersfield,kern,Christian
233,Garces Memorial High School,Bakersfield,kern,Christian
234,Golden Valley High School,Bakersfield,kern,Christian
235,Highland High School,Bakersfield,kern,Christian
236,Independence High School,Bakersfield,kern,Christian
237,Kern Valley High School,Lake Isabella,kern,Christian
238,Liberty High School,Bakersfield,kern,Christian
239,Maricopa High School,Maricopa,kern,Christian
240,McFarland High School,McFarland,kern,Christian
241,Mira Monte High School,Bakersfield,kern,Christian
242,Mojave High School 1954,Mojave,kern,Christian
243,North High School,Kern,kern,Christian
244,Ridgeview High School,Bakersfield,kern,Christian
245,Robert F. Kennedy High School,Delano,kern,Christian
246,Rosamond High School,Rosamond,kern,Christian
247,Shafter High School,Shafter,kern,Christian
248,South High School,Bakersfield,kern,Christian
249,Stockdale High School,Bakersfield,kern,Christian
250,Taft Union High School,Taft,kern,Christian
251,Tehachapi High School,Tehachapi,kern,Christian
252,Wasco High School,Wasco,kern,Christian
253,West High School,Bakersfield,kern,Christian
254,Avenal High School,Avenal,kings,Christian
255,Corcoran High School,Corcoran,kings,Christian
256,Crescent Valley Public Charter,Hanford,kings,Christian
257,Hanford High School,Hanford,kings,Christian
258,Hanford West High School,Hanford,kings,Christian
259,Earl F. Johnson Continuation School,Hanford,kings,Christian
260,Kings Community School,Hanford,kings,Christian
261,Lemoore High School,Lemoore,kings,Christian
262,Sierra Pacific High School,Hanford,kings,Christian
263,Armona Union Academy,Armona,kings,Christian
264,Clear Lake High School,Lakeport,lake,Christian
265,Intermountain High School,Cobb,lake,Christian
266,Kelseyville High School,Kelseyville,lake,Christian
267,Lower Lake High School,Lower Lake,lake,Christian
268,Middletown High School,Middletown,lake,Christian
269,Upper Lake High School,Upper Lake,lake,Christian
270,Big Valley High School,Bieber,lassen,Christian
271,Herlong High School,Herlong,lassen,Christian
272,Lassen High School,Susanville,lassen,Christian
273,Westwood High School,Westwood,lassen,Christian
274,Bishop Alemany High School,Mission Hills,los angeles,Christian
275,Bishop Conaty-Our Lady of Loretto High School,Harvard Heights,los angeles,Christian
276,Bishop Mora Salesian High School,Boyle Heights,los angeles,Christian
277,Cathedral High School,Elysian Park,los angeles,Christian
278,Chaminade College Preparatory School,West Hills,los angeles,Christian
279,Crespi Carmelite High School,Encino,los angeles,Christian
280,Louisville High School,Woodland Hills,los angeles,Christian
281,Loyola High School,Harvard Heights,los angeles,Christian
282,Immaculate Heart High School,Los Feliz,los angeles,Christian
283,Mary Star of the Sea High School,San Pedro,los angeles,Christian
284,Marymount High School,Bel-Air,los angeles,Christian
285,Notre Dame Academy,Rancho Park,los angeles,Christian
286,Notre Dame High School Sherman Oaks,Los Angeles,los angeles,Christian
287,Providence High School,Burbank,los angeles,Christian
288,Sacred Heart High School,Lincoln Heights,los angeles,Christian
289,St. Bernard High School,Playa del Rey,los angeles,Christian
290,St. Genevieve High School,Panorama City,los angeles,Christian
291,YeeYee International School,Los Angeles,los angeles,Christian
292,Alverno High School,Sierra Madre,los angeles,Christian
293,Assurance Learning Academy,Harbor City,los angeles,Christian
294,Bellarmine-Jefferson High School,Burbank,los angeles,Christian
295,Bishop Amat Memorial High School,La Puente,los angeles,Christian
296,Bishop Montgomery High School,Torrance,los angeles,Christian
297,Cantwell-Sacred Heart of Mary High School,Montebello,los angeles,Christian
298,Damien High School,La Verne,los angeles,Christian
299,Don Bosco Technical Institute,Rosemead,los angeles,Christian
300,Flintridge Sacred Heart Academy,La Cañada Flintridge,los angeles,Christian
301,Holy Family High School,Glendale,los angeles,Christian
302,Junípero Serra High School,Gardena,los angeles,Christian
303,La Salle High School,Pasadena,los angeles,Christian
304,Mayfield Senior School of the Holy Child Jesus,Pasadena,los angeles,Christian
305,Paraclete High School,Lancaster,los angeles,Christian
306,Pomona Catholic High School,Pomona,los angeles,Christian
307,Providence High School,Burbank,los angeles,Christian
308,Ramona Convent Secondary School,Alhambra,los angeles,Christian
309,St. Anthony High School,Long Beach,los angeles,Christian
310,St. Francis High School,La Cañada Flintridge,los angeles,Christian
311,St. John Bosco High School,Bellflower,los angeles,Christian
312,St. Joseph High School,Lakewood,los angeles,Christian
313,St. Lucy's Priory High School,Glendora,los angeles,Christian
314,St. Mary's Academy,Inglewood,los angeles,Christian
315,St. Monica Academy,Pasadena,los angeles,Christian
316,St. Monica High School,Santa Monica,los angeles,Christian
317,St. Paul High School,Santa Fe Springs,los angeles,Christian
318,St. Pius X - St. Matthias Academy,Downey,los angeles,Christian
319,San Gabriel Mission High School,San Gabriel,los angeles,Christian
320,Bethel Christian High School,Lancaster,los angeles,Christian
321,Campbell Hall School,North Hollywood,los angeles,Christian
322,Desert Christian High School,Lancaster,los angeles,Christian
323,First Lutheran High School,Sylmar,los angeles,Christian
324,First Presbyterian School,Arcadia,los angeles,Christian
325,Frederick K.C. Price III Christian Schools,Los Angeles,los angeles,Christian
326,Glendale Adventist Academy,Glendale,los angeles,Christian
327,Hillcrest Christian School,Granada Hills,los angeles,Christian
328,Judson International School,Eagle Rock,los angeles,Christian
329,Lighthouse Christian Academy,Santa Monica,los angeles,Christian
330,Los Angeles Adventist Academy,Los Angeles,los angeles,Christian
331,Los Angeles Baptist High School,North Hills,los angeles,Christian
332,Los Angeles Lutheran High School,Sylmar,los angeles,Christian
333,Lutheran High School,La Verne,los angeles,Christian
334,Maranatha High School,Pasadena,los angeles,Christian
335,Oaks Christian High School,Westlake Village,los angeles,Christian
336,Pacific Christian on the Hill,Los Angeles,los angeles,Christian
337,Pacific Lutheran High School,Torrance,los angeles,Christian
338,Pacifica Christian High School,Santa Monica,los angeles,Christian
339,Pilgrim School,Los Angeles,los angeles,Christian
340,San Gabriel Adventist Academy,San Gabriel,los angeles,Christian
341,Santa Clarita Christian School,Santa Clarita,los angeles,Christian
342,South Bay Lutheran High School,Inglewood,los angeles,Christian
343,Trinity Lutheran Junior/Senior School,Reseda,los angeles,Christian
344,Valley Christian High School,Cerritos,los angeles,Christian
345,Village Christian Schools,Sun Valley,los angeles,Christian
346,Bais Chana High School,Los Angeles,los angeles,Jewish
347,Bais Yaakov of Los Angeles,Los Angeles,los angeles,Jewish
348,Bnos Devorah High School,Los Angeles,los angeles,Jewish
349,Mesivta of Greater Los Angeles,Calabasas,los angeles,Jewish
350,Mesivta Birkas Yitzchok,Los Angeles,los angeles,Jewish
351,Milken Community High School,Bel-Air,los angeles,Jewish
352,Netan Eli High School,Los Angeles,los angeles,Jewish
353,New Community Jewish High School,West Hills,los angeles,Jewish
354,Ohr HaEmet Institute,Los Angeles,los angeles,Jewish
355,Shalhevet High School,Los Angeles,los angeles,Jewish
356,Valley Torah High School,Valley Village,los angeles,Jewish
357,Valley Torah Lintz High School,Sun Valley,los angeles,Jewish
358,Yeshiva Gedolah School of Los Angeles/Michael Diller High School,Los Angeles,los angeles,Jewish
359,Yeshiva High Tech,Los Angeles,los angeles,Jewish
360,Yeshiva Ohr Elchonon Chabad High School,Los Angeles,los angeles,Jewish
361,Yeshiva University High School of Los Angeles,Los Angeles,los angeles,Jewish
362,Yeshiva University High School of Los Angeles,Los Angeles,los angeles,Jewish
363,Advanced Education Academy,La Canada,los angeles,Christian
364,AGBU Vatche and Tamar Manoukian High School,Pasadena,los angeles,Christian
365,AGBU Manoogian-Demirdjian School,Canoga Park,los angeles,Christian
366,American University Preparatory School,downtown Los Angeles,los angeles,Christian
367,Archer School for Girls,Brentwood,los angeles,Christian
368,Armenian Mesrobian School,Pico Rivera,los angeles,Christian
369,Beverly Hills Preparatory School,Beverly Hills,los angeles,Christian
370,Brentwood School,Brentwood,los angeles,Christian
371,Bridges Academy,Studio City,los angeles,Christian
372,Buckley School,Sherman Oaks,los angeles,Christian
373,Chadwick School,Palos Verdes Peninsula,los angeles,Christian
374,Crest View Academy,Santa Clarita,los angeles,Christian
375,Crossroads School,Santa Monica,los angeles,Christian
376,Delphi Academy of Los Angeles,Lake View Terrace,los angeles,Christian
377,Excelsior School,Pasadena,los angeles,Christian
378,Ferrahian Armenian School,Encino,los angeles,Christian
379,Flintridge Preparatory School,La Canada Flintridge,los angeles,Christian
380,Harvard-Westlake School,Holmby Hills,los angeles,Christian
381,Lycée Français de Los Angeles,Rancho Park – Palms,los angeles,Christian
382,Marlborough School,Hancock Park,los angeles,Christian
383,Oakwood School,North Hollywood,los angeles,Christian
384,Oxford School,Rowland Heights,los angeles,Christian
385,Polytechnic School,Pasadena,los angeles,Christian
386,Renaissance Academy,Altadena,los angeles,Christian
387,Ribet Academy,Glassell Park,los angeles,Christian
388,Rio Hondo Preparatory School,Arcadia,los angeles,Christian
389,Rose and Alex Pilibos Armenian School,Hollywood,los angeles,Christian
390,Rolling Hills Preparatory,Palos Verdes Estates,los angeles,Christian
391,Sierra Canyon School,Chatsworth,los angeles,Christian
392,STAR Prep Academy,Culver City,los angeles,Christian
393,STEM3 Academy,Valley Glen,los angeles,Christian
394,TCA Arshag Dickranian Armenian School,Hollywood,los angeles,Christian
395,Viewpoint School,Calabasas,los angeles,Christian
396,Village Glen High School,Sherman Oaks,los angeles,Christian
397,Vistamar School,El Segundo,los angeles,Christian
398,The Waverly School,Pasadena,los angeles,Christian
399,The Webb Schools,Claremont,los angeles,Christian
400,Westridge School for Girls,Pasadena,los angeles,Christian
401,Wild Wood High School,Los Angeles,los angeles,Christian
402,Wildwood School,Los Angeles,los angeles,Christian
403,Windward School,Mar Vista,los angeles,Christian
404,Artesia High School,Lakewood,los angeles,None
405,Cerritos High School,Cerritos,los angeles,None
406,Richard Gahr High School,Cerritos,los angeles,None
407,Gretchen Whitney High School,Cerritos,los angeles,None
408,Tracy High School,Cerritos,los angeles,None
409,Assurance Learning Academy,Acton,los angeles,None
410,Vasquez High School,Acton,los angeles,None
411,Alhambra High School,Alhambra,los angeles,None
412,Mark Keppel High School,Monterey Park,los angeles,None
413,San Gabriel High School,San Gabriel,los angeles,None
414,Alliance for College-Ready Public Schools,Los Angeles,los angeles,None
415,Alliance Alice M. Baxter College-Ready High School,Los Angeles,los angeles,None
416,College-Ready Academy High School#4,Los Angeles,los angeles,None
417,College-Ready Academy High School#6,Los Angeles,los angeles,None
