,School,City,County
519,Banning High School,Banning,Riverside County
520,Beaumont High School,Beaumont,Riverside County
521,California Lutheran High School,Wildomar,Riverside County
522,Calvary Chapel Christian School,Murrieta,Riverside County
523,Canyon Springs High School,Moreno Valley,Riverside County
524,Cathedral City High School,Cathedral City,Riverside County
525,Centennial High School,Corona,Riverside County
526,Chaparral High School,Temecula,Riverside County
527,Christian School of the Desert,Bermuda Dunes,Riverside County
528,Citrus Hill High School,Perris,Riverside County
529,Coachella Valley High School,Thermal,Riverside County
530,Corona High School,Corona,Riverside County
531,Desert Adventist Academy,Desert Hot Springs,Riverside County
532,Desert Chapel High School,Palm Springs,Riverside County
533,Desert Hot Springs High School,Desert Hot Springs,Riverside County
534,Desert Mirage High School,Thermal,Riverside County
535,Eagle Mountain,Desert Center,Riverside County
536,Eleanor Roosevelt High School Eastvale,San Lorenzo,Riverside County
537,Elsinore High School,Wildomar,Riverside County
538,Grace Chapel of the Desert School,Indio,Riverside County
539,Great Oak High School,Temecula,Riverside County
540,Hamilton High School,Anza,Riverside County
541,Hemet Academy of Applied Academics and Technology,Hemet,Riverside County
542,Hemet High School,Hemet,Riverside County
543,Heritage High School,Menifee,Riverside County
544,Idyllwild Arts Academy,Idyllwild,Riverside County
545,Indio High School,Indio,Riverside County
546,John F. Kennedy Middle College High School,Norco,Riverside County
547,John W. North High School,Riverside,Riverside County
548,Jurupa Valley High School,Jurupa Valley,Riverside County
549,La Familia High School,Thermal,Riverside County
550,La Quinta High School,La Quinta,Riverside County
551,La Sierra Adventist Academy,Riverside,Riverside County
552,La Sierra High School,Riverside,Riverside County
553,Lakeside High School,Lake Elsinore,Riverside County
554,Lee Pollard High School,Corona,Riverside County
555,Linfield Christian School,Temecula,Riverside County
556,Martin Luther King Jr. High School,Riverside,Riverside County
557,Mater Dei High School,Mecca,Riverside County
558,Mesa Grande Academy,Calimesa,Riverside County
559,Mojave Desert,Desert Hot Springs,Riverside County
560,Mount San Jacinto High School,Cathedral City,Riverside County
561,Moreno Valley High School,Moreno Valley,Riverside County
562,Murrieta Mesa High School,Murrieta,Riverside County
563,Murrieta Valley High School,Murrieta,Riverside County
564,Norco High School,Norco,Riverside County
565,Norte Vista High School,Riverside,Riverside County
566,Notre Dame Catholic High School,Riverside,Riverside County
567,Nuview Bridge Academy,Nuevo,Riverside County
568,Orange Grove High School,Corona,Riverside County
569,Palm Desert High School,Palm Desert,Riverside County
570,Palm Springs High School,Palm Springs,Riverside County
571,Palm Valley High School,Rancho Mirage,Riverside County
572,Palo Verde Valley High School,Blythe,Riverside County
573,Paloma Valley High School,Menifee,Riverside County
574,Patriot High School,Riverside,Riverside County
575,Perris High School,Perris,Riverside County
576,Quadrille Academy,Indio,Riverside County
577,Polytechnic High School,Riverside,Riverside County
578,Ramona High School,Riverside,Riverside County
579,Rancho Christian School,Temecula[2],Riverside County
580,Rancho Mirage High School,Rancho Mirage [3],Riverside County
581,Rancho Verde High School,Moreno Valley,Riverside County
582,River Springs Charter School,County wide charter school,Riverside County
583,Rubidoux High School,Riverside,Riverside County
584,San Gorgonio,Cabazon,Riverside County
585,San Jacinto Senior High School,San Jacinto,Riverside County
586,Santiago High School,Corona,Riverside County
587,Seaview High School,Thermal/Mecca,Riverside County
588,Shadow Hills High School,Indio,Riverside County
589,Sherman Indian High School,Riverside,Riverside County
590,Southwest Educational Center,Wildomar,Riverside County
591,Summit High School,La Quinta,Riverside County
592,Sunnymead High School,Moreno Valley,Riverside County
593,Tahquitz High School,Hemet,Riverside County
594,Temecula Preparatory School,French Valley,Riverside County
595,Temecula Valley High School,Temecula,Riverside County
596,Temescal Canyon High School,Lake Elsinore,Riverside County
597,The Ranch Academy,1000 Palms,Riverside County
598,Val Verde High School,Perris,Riverside County
599,Valley View High School,Moreno Valley,Riverside County
600,Vista Calimesa High School,Calimesa/Yucaipa,Riverside County
601,Vista del Lago High School,Moreno Valley,Riverside County
602,Vista Murrieta High School,Murrieta,Riverside County
603,West Shores High School,Salton City/Mecca,Riverside County
604,West Valley High School,Hemet,Riverside County
605,Woodcrest Christian School,Riverside,Riverside County
606,Xavier College Preparatory,Palm Desert,Riverside County
607,Calvine High School,Sacramento,">C. K. McClatchy High School, Sacramento"
608,Casa Roble High School,Orangevale,">C. K. McClatchy High School, Sacramento"
609,Center High School,Antelope,">C. K. McClatchy High School, Sacramento"
610,Christian Brothers High School,Central Sacramento,">C. K. McClatchy High School, Sacramento"
611,Cordova High School,Rancho Cordova,">C. K. McClatchy High School, Sacramento"
612,Cosumnes Oaks High School,Elk Grove,">C. K. McClatchy High School, Sacramento"
613,Del Campo High School,Fair Oaks,">C. K. McClatchy High School, Sacramento"
614,East Anthwood Angles High School,East Sacramento,">C. K. McClatchy High School, Sacramento"
615,East Side High School,East Sacramento,">C. K. McClatchy High School, Sacramento"
616,El Camino Fundamental High School,Sacramento,">C. K. McClatchy High School, Sacramento"
617,Elk Grove Charter School,Elk Grove,">C. K. McClatchy High School, Sacramento"
618,Elk Grove High School,Elk Grove,">C. K. McClatchy High School, Sacramento"
619,Encina High School,Sacramento,">C. K. McClatchy High School, Sacramento"
620,Florin High School,South Sacramento,">C. K. McClatchy High School, Sacramento"
621,Folsom High School,Folsom,">C. K. McClatchy High School, Sacramento"
622,Foothill High School,Sacramento,">C. K. McClatchy High School, Sacramento"
623,Franklin D. Roosevelt School,Sacramento,">C. K. McClatchy High School, Sacramento"
624,Franklin High School,Elk Grove,">C. K. McClatchy High School, Sacramento"
625,Galt High School,Galt,">C. K. McClatchy High School, Sacramento"
626,Grant Union High School,North Sacramento,">C. K. McClatchy High School, Sacramento"
627,Golden Valley Charter School,San Lorenzo,">C. K. McClatchy High School, Sacramento"
628,Highlands High School,North Highlands,">C. K. McClatchy High School, Sacramento"
629,Hiram W. Johnson High School,Sacramento,">C. K. McClatchy High School, Sacramento"
630,Inderkum High School,Sacramento,">C. K. McClatchy High School, Sacramento"
631,Jane Lathrop School,Carmichael,">C. K. McClatchy High School, Sacramento"
632,Jesuit High School of Sacramento,Carmichael,">C. K. McClatchy High School, Sacramento"
633,John F. Kennedy High School,South Sacramento,">C. K. McClatchy High School, Sacramento"
634,K. Robinson Anthwood Continuation High School,East Sacramento,">C. K. McClatchy High School, Sacramento"
635,Laguna Creek High School,Elk Grove,">C. K. McClatchy High School, Sacramento"
636,Lexington Union High School,Central Sacramento,">C. K. McClatchy High School, Sacramento"
637,Loretto High School,Sacramento,">C. K. McClatchy High School, Sacramento"
638,Luther Burbank High School,Sacramento,">C. K. McClatchy High School, Sacramento"
639,Lutheran School,Sacramento,">C. K. McClatchy High School, Sacramento"
640,Mesa Verde High School,Citrus Heights,">C. K. McClatchy High School, Sacramento"
641,Mira Loma High School,Sacramento,">C. K. McClatchy High School, Sacramento"
642,Monterey Trail High School,Elk Grove,">C. K. McClatchy High School, Sacramento"
643,Natomas Charter School,Sacramento,">C. K. McClatchy High School, Sacramento"
644,Natomas High School,Sacramento,">C. K. McClatchy High School, Sacramento"
645,Pleasant Grove High School,[4] Elk Grove,">C. K. McClatchy High School, Sacramento"
646,Rio Americano High School,Sacramento,">C. K. McClatchy High School, Sacramento"
647,Rio Linda High School,Rio Linda,">C. K. McClatchy High School, Sacramento"
648,River Valley School,Sacramento,">C. K. McClatchy High School, Sacramento"
649,Rochester High School,East Sacramento,">C. K. McClatchy High School, Sacramento"
650,Rosemont High School,Sacramento,">C. K. McClatchy High School, Sacramento"
651,Sacramento Adventist Academy,Sacramento,">C. K. McClatchy High School, Sacramento"
652,Sacramento Country Day School,Sacramento,">C. K. McClatchy High School, Sacramento"
653,Sacramento High School,Sacramento,">C. K. McClatchy High School, Sacramento"
654,Sacramento New Technology High School,Sacramento,">C. K. McClatchy High School, Sacramento"
655,Sacramento Preparatory Academy,Sacramento,">C. K. McClatchy High School, Sacramento"
656,Sacramento Valley School,Sacramento,">C. K. McClatchy High School, Sacramento"
657,Sacramento Waldorf School,Fair Oaks,">C. K. McClatchy High School, Sacramento"
658,St. Francis High School,Sacramento,">C. K. McClatchy High School, Sacramento"
659,San Juan High School,Citrus Heights,">C. K. McClatchy High School, Sacramento"
660,Sheldon High School,Sacramento,">C. K. McClatchy High School, Sacramento"
661,Tahaloma High School,Citrus Heights,">C. K. McClatchy High School, Sacramento"
662,Upper Valley High School,East Sacramento,">C. K. McClatchy High School, Sacramento"
663,Valley High School,South Sacramento,">C. K. McClatchy High School, Sacramento"
664,Valley Oak Academy - Mariposa,Citrus Heights,">C. K. McClatchy High School, Sacramento"
665,Victory Christian High School,Carmichael,">C. K. McClatchy High School, Sacramento"
666,Vista del Lago High School,Folsom,">C. K. McClatchy High School, Sacramento"
667,Vista Nueva Career & Technology High School,Sacramento,">C. K. McClatchy High School, Sacramento"
668,West Campus High School,West Sacramento,">C. K. McClatchy High School, Sacramento"
669,West Heights High School,West Sacramento,">C. K. McClatchy High School, Sacramento"
670,Wizbin High School,East Sacramento,">C. K. McClatchy High School, Sacramento"
671,Anzar High School,San Juan Bautista,San Benito County
672,San Benito High School,Hollister,San Benito County
673,Alta Vista Public Charter,Adelanto,San Bernardino County
674,Alta Vista Public Charter,Apple Valley,San Bernardino County
675,Alta Vista Public Charter,Hesperia,San Bernardino County
676,Alta Vista Public Charter,San Bernardino,San Bernardino County
677,Alta Vista South Public Charter,Highland,San Bernardino County
678,Apple Valley High School,Apple Valley,San Bernardino County
679,Granite Hills High School,Apple Valley,San Bernardino County
680,Barstow High School,San Lorenzo,San Bernardino County
681,Central High Continuation School,San Lorenzo,San Bernardino County
682,Big Bear High School,Big Bear City,San Bernardino County
683,Big Bear STEM School,Big Bear City,San Bernardino County
684,Chataqua High School,Big Bear City,San Bernardino County
685,Big River School,Big River (county),San Bernardino County
686,Alta Loma High School,San Lorenzo,San Bernardino County
687,Canyon View High School,San Lorenzo,San Bernardino County
688,Chaffey Adult School,San Lorenzo,San Bernardino County
689,Chaffey High School,San Lorenzo,San Bernardino County
690,Colony High School,San Lorenzo,San Bernardino County
691,Etiwanda High School,San Lorenzo,San Bernardino County
692,Los Osos High School,San Lorenzo,San Bernardino County
693,Montclair High School,San Lorenzo,San Bernardino County
694,Ontario High School,San Lorenzo,San Bernardino County
695,Rancho Cucamonga High School,San Lorenzo,San Bernardino County
696,Valley View High School,Ontario,San Bernardino County
697,Chino High School,Chino,San Bernardino County
698,Chino Hills High School,Chino Hills,San Bernardino County
699,Don Antonio Lugo High School,San Lorenzo,San Bernardino County
700,Ruben S. Ayala High School,Chino Hills,San Bernardino County
701,Bloomington High School,Bloomington,San Bernardino County
702,Colton High School,Colton,San Bernardino County
703,Grand Terrace High School,Grand Terrace,San Bernardino County
704,Slover Mountain High School,Colton,San Bernardino County
705,Washington Alternative High School,Colton,San Bernardino County
706,Desert Sands Charter High School,Fontana,San Bernardino County
707,Desert Sands Charter High School,Rialto,San Bernardino County
708,A. B. Miller High School,Fontana,San Bernardino County
709,Fontana High School,Fontana,San Bernardino County
710,Henry J. Kaiser High School,Fontana,San Bernardino County
711,Jurupa Hills High School,Fontana,San Bernardino County
712,Summit High School,Fontana,San Bernardino County
713,Hesperia High School,Hesperia,San Bernardino County
714,Sultana High School,Hesperia,San Bernardino County
715,Mojave Desert Public School,Amboy,San Bernardino County
716,Twentynine Palms High School,Twentynine Palms,San Bernardino County
717,Yucca Valley High School,Yucca Valley,San Bernardino County
718,Black Rock High School,Joshua Tree,San Bernardino County
719,Needles High School,San Lorenzo,San Bernardino County
720,The Grove School,San Lorenzo,San Bernardino County
721,Orangewood Contintuation High School,San Lorenzo,San Bernardino County
722,Redlands Citrus Valley High School,San Lorenzo,San Bernardino County
723,Redlands East Valley High School,San Lorenzo,San Bernardino County
724,Redlands High School,San Lorenzo,San Bernardino County
725,Doctor John H Milor High School,Rialto,San Bernardino County
726,Dwight D. Eisenhower High School,Rialto,San Bernardino County
727,Rialto High School,Rialto,San Bernardino County
728,Wilmer Amina Carter High School,Rialto,San Bernardino County
729,Zupanic High School,Rialto,San Bernardino County
730,Rim of the World High School,Lake Arrowhead,San Bernardino County
731,Arroyo Valley High School,San Lorenzo,San Bernardino County
732,Cajon High School,San Lorenzo,San Bernardino County
733,Pacific High School,San Lorenzo,San Bernardino County
734,San Andreas High School,San Lorenzo,San Bernardino County
735,San Bernardino High School,San Lorenzo,San Bernardino County
736,San Gorgonio High School,San Lorenzo,San Bernardino County
737,Sierra High School,San Lorenzo,San Bernardino County
738,Silver Valley High School,Yermo,San Bernardino County
739,Chaparral High School,Phelan,San Bernardino County
740,Serrano High School,San Lorenzo,San Bernardino County
741,Upland High School,San Lorenzo,San Bernardino County
742,Adelanto High School,Adelanto,San Bernardino County
743,Maverick High School,Victorville,San Bernardino County
744,Silverado High School,Victorville,San Bernardino County
745,Victor Valley High School,Victorville,San Bernardino County
746,Vista Calimesa High School,Yucaipa/Calimesa,San Bernardino County
747,Yucaipa High School,Yucaipa,San Bernardino County
748,Aquinas Catholic High School,San Bernardino,Private
749,Arrowhead Christian Academy,Redlands,Private
750,Bloomington Christian School,Big Bear Lake,Private
751,Bloomington Christian School,Bloomington,Private
752,Crestline High School,Crestline,Private
753,Grace Chapel of the Desert School,Yucca Valley,Private
754,Loma Linda Academy,Loma Linda,Private
755,Mesa Grande Academy,Calimesa/Yucaipa,Private
756,Mojave Desert,Yucca Valley,Private
757,Riverside Prep,Oro Grande,Private
758,,Yucca Valley/29 Palms,Private
759,,Yucaipa/Calimesa,Private
760,Upland Christian Academy,Rancho Cucamonga,Private
761,Xavier College Preparatory High School,Palm Desert,Private
762,Warner High School,Warner Springs,Public schools
763,Borrego Springs High School,Borrego Springs,Public schools
764,Palm Canyon High School,Borrego Springs,Public schools
765,Carlsbad High School,Carlsbad,Public schools
766,Carlsbad Village Academy 10-12,Carlsbad,Public schools
767,Sage Creek High School,Carlsbad,Public schools
768,Coronado High School,Coronado,Public schools
769,Palm Academy for Learning,Coronado,Public schools
770,Diego Valley Charter High School,Escondido,Public schools
771,Center City High School,Escondido,Public schools
772,Escondido Charter High School,Escondido,Public schools
773,Escondido High School,Escondido,Public schools
774,Orange Glen High School,Escondido,Public schools
775,San Pasqual High School,Escondido,Public schools
776,Valley High School,Escondido,Public schools
777,Classical Academy High School,Escondido,Public schools
778,Del Lago Academy,Escondido,Public schools
779,Fallbrook Union High School,Fallbrook,Main article: Fallbrook Union High School
780,Ivy High School,Fallbrook,Main article: Fallbrook Union High School
781,Oasis High School,Fallbrook,Main article: Fallbrook Union High School
782,Diego Valley Charter High School,El Cajon,Main article: Fallbrook Union High School
783,Chaparral High School,El Cajon,Main article: Fallbrook Union High School
784,El Cajon Valley High School,El Cajon,Main article: Fallbrook Union High School
785,El Capitan High School,Lakeside,Main article: Fallbrook Union High School
786,Granite Hills High School,El Cajon,Main article: Fallbrook Union High School
787,Grossmont High School,La Mesa/El Cajon,Main article: Fallbrook Union High School
788,Grossmont Middle College High School,El Cajon,Main article: Fallbrook Union High School
789,Monte Vista High School,Spring Valley,Main article: Fallbrook Union High School
790,Mount Miguel High School,Spring Valley,Main article: Fallbrook Union High School
791,Santana High School,Santee,Main article: Fallbrook Union High School
792,Valhalla High School,El Cajon,Main article: Fallbrook Union High School
793,West Hills High School,Santee,Main article: Fallbrook Union High School
794,Julian High School,Julian,Main article: Fallbrook Union High School
795,Redding,Julian,Main article: Fallbrook Union High School
796,Summit High Community Day,Julian,Main article: Fallbrook Union High School
797,Mountain Empire High School,Pine Valley,Main article: Fallbrook Union High School
798,Diego Valley Charter High School,Oceanside,Main article: Fallbrook Union High School
799,El Camino High School,Oceanside,Main article: Fallbrook Union High School
800,Oceanside High School,Oceanside,Main article: Fallbrook Union High School
801,Oceanside School of Business and Technology,Oceanside,Main article: Fallbrook Union High School
802,Pacific View Charter School,Oceanside,Main article: Fallbrook Union High School
803,Abraxas High School,Poway,Main article: Fallbrook Union High School
804,Del Norte High School,San Diego,Main article: Fallbrook Union High School
805,Mount Carmel High School,San Diego,Main article: Fallbrook Union High School
806,Poway High School,Poway,Main article: Fallbrook Union High School
807,Rancho Bernardo High School,San Diego,Main article: Fallbrook Union High School
808,Westview High School,San Diego,Main article: Fallbrook Union High School
809,Montecito High School,Ramona,Main article: Fallbrook Union High School
810,Mountain Valley Academy High School,Ramona,Main article: Fallbrook Union High School
811,Ramona High School,Ramona,Main article: Fallbrook Union High School
812,Monarch School,San Diego,San Diego County Office of Education
813,Canyon Crest Academy,San Diego,San Diego County Office of Education
814,La Costa Canyon High School,Carlsbad,San Diego County Office of Education
815,North Coast High School,Encinitas,San Diego County Office of Education
816,San Dieguito Academy,Encinitas,San Diego County Office of Education
817,Sunset High School,Encinitas,San Diego County Office of Education
818,Torrey Pines High School,San Diego,San Diego County Office of Education
819,Bayshore Prep Charter School,San Marcos,San Diego County Office of Education
820,Foothills High,San Marcos,San Diego County Office of Education
821,Mission Hills High School,San Marcos,San Diego County Office of Education
822,San Marcos High School,San Marcos,San Diego County Office of Education
823,Twin Oaks High School,San Marcos,San Diego County Office of Education
824,Bonita Vista High School,Chula Vista,San Diego County Office of Education
825,Castle Park High School,Chula Vista,San Diego County Office of Education
826,Chula Vista High School,Chula Vista,San Diego County Office of Education
827,Eastlake High School,Chula Vista,San Diego County Office of Education
828,Hilltop High School,Chula Vista,San Diego County Office of Education
829,MAAC Community Charter School,Chula Vista,San Diego County Office of Education
830,Mar Vista High School,Imperial Beach,San Diego County Office of Education
831,Montgomery High School,San Diego,San Diego County Office of Education
832,Olympian High School,Chula Vista,San Diego County Office of Education
833,Options Secondary School,Chula Vista,San Diego County Office of Education
834,Otay Ranch High School,Chula Vista,San Diego County Office of Education
835,Palomar High School,Chula Vista,San Diego County Office of Education
836,San Ysidro High School,San Diego,San Diego County Office of Education
837,Southwest High School,San Diego,San Diego County Office of Education
838,Sweetwater High School,National City,San Diego County Office of Education
839,Oak Glen High School,Valley Center,East Hills Academy
840,Valley Center Adult Education,Valley Center,East Hills Academy
841,Valley Center High School,Valley Center,East Hills Academy
842,Valley Center Independent Study,Valley Center,East Hills Academy
843,Diego Valley Charter High School,Vista,East Hills Academy
844,Guajome Park Academy,Vista,East Hills Academy
845,Mission Vista High School,Oceanside,East Hills Academy
846,North County Trade Tech High School,Vista,East Hills Academy
847,Rancho Buena Vista High School,Vista,East Hills Academy
848,Vista High School,Vista,East Hills Academy
849,San Jose Valley Continuation High School,Warner Springs,East Hills Academy
850,Warner Middle / High School,Warner Springs,East Hills Academy
851,Ocean View Christian Academy,Spring Valley (independent charter high school,Baptist
852,Academy of Our Lady of Peace,Spring Valley (independent charter high school,Catholic
853,Saint Augustine High School,Spring Valley (independent charter high school,Catholic
854,Mater Dei Catholic High School,Spring Valley (independent charter high school,Catholic
855,Cathedral Catholic High School,Spring Valley (independent charter high school,Catholic
856,The Bishop's School,La Jolla,Episcopal
857,San Diego Jewish Academy,San Diego,Jewish
858,Southern California Yeshiva High School,San Diego,Jewish
859,Torah High Schools of San Diego,San Diego,Jewish
860,Victory Christian Academy,San Diego (formerly Lutheran High School of San Diego),Lutheran
861,Escondido Adventist Academy,Escondido,Seventh-Day Adventist
862,San Diego Academy,National City,Seventh-Day Adventist
863,Army and Navy Academy,Carlsbad,Non-Denominational
864,Maranatha Christian Schools,San Diego,Non-Denominational
865,Calvin Christian School,Escondido,Non-Denominational
866,Santa Fe Christian Schools,Solana Beach,Non-Denominational
867,Horizon Christian Academy,San Diego,Non-Denominational
868,Horizon Prep School,Rancho Santa Fe,Non-Denominational
869,The Child's Primary School,San Diego,Nonsectarian
870,Carlsbad Seaside Academy,Carlsbad,Nonsectarian
871,Carlsbad Village Academy,Carlsbad,Nonsectarian
872,Francis W. Parker School,San Diego,Nonsectarian
873,Fusion Academy,Del Mar,Nonsectarian
874,The Grauer School,Encinitas,Nonsectarian
875,Halstrom High School,Oceanside,Nonsectarian
876,Halstrom High School,San Diego,Nonsectarian
877,La Jolla Country Day School,La Jolla,Nonsectarian
878,Pacific Academy International,Encinitas,Nonsectarian
879,Pacific Ridge School,Carlsbad,Nonsectarian
880,San Diego French American School,La Jolla,Nonsectarian
881,The Waldorf School of San Diego High School,San Diego,Nonsectarian
882,Leeway Sudbury School,San Diego,Nonsectarian
883,High Bluff Academy,San Diego,Nonsectarian
884,Day-McKellar Prep K-High School,La Mesa. Closed as of December,Defunct schools
885,List of high schools in California,Spring Valley (independent charter high school,See also
886,List of school districts in California,Spring Valley (independent charter high school,See also
887,List of school districts in California by county,Spring Valley (independent charter high school,See also
888,List of school districts in San Diego County,California,See also
889,Primary and secondary schools in San Diego,California,See also
890,List of closed secondary schools in California,Spring Valley (independent charter high school,See also
891,San Diego County Office of Education,Spring Valley (independent charter high school,External links
892,San Diego County Schools,list of schools from SchoolTree.org,External links
893,Abraham Lincoln High School,Spring Valley (independent charter high school,Public
894,Academy of Arts & Sciences,Spring Valley (independent charter high school,Public
895,Balboa High School,Spring Valley (independent charter high school,Public
896,Downtown High School,Spring Valley (independent charter high school,Public
897,Galileo Academy of Science and Technology,Spring Valley (independent charter high school,Public
898,George Washington High School,Spring Valley (independent charter high school,Public
899,Ida B. Wells Continuation High School,Spring Valley (independent charter high school,Public
900,Independence High School,Spring Valley (independent charter high school,Public
901,International Studies Academy,Spring Valley (independent charter high school,Public
902,John A. O'Connell High School,Spring Valley (independent charter high school,Public
903,June Jordan School for Equity,Spring Valley (independent charter high school,Public
904,Lowell High School,Spring Valley (independent charter high school,Public
905,Mission High School,Spring Valley (independent charter high school,Public
906,Phillip & Sala Burton High School,Spring Valley (independent charter high school,Public
907,Raoul Wallenberg Traditional High School,Spring Valley (independent charter high school,Public
908,San Francisco Flex Academy,Spring Valley (independent charter high school,Public
909,San Francisco International High School,Spring Valley (independent charter high school,Public
910,School of the Arts,Spring Valley (independent charter high school,Public
911,Thurgood Marshall Academic High School,Spring Valley (independent charter high school,Public
912,City Arts & Technology,Spring Valley (independent charter high school,Public charter
913,Gateway High School,Spring Valley (independent charter high school,Public charter
914,KIPP San Francisco College Preparatory,Spring Valley (independent charter high school,Public charter
915,Leadership High School,Spring Valley (independent charter high school,Public charter
916,The Bay School of San Francisco,Spring Valley (independent charter high school,Private
917,Cornerstone Academy,Spring Valley (independent charter high school,Private
918,Drew School,Spring Valley (independent charter high school,Private
919,Fusion Academy,Spring Valley (independent charter high school,Private
920,Hillwood Academic Day School,Spring Valley (independent charter high school,Private
