Cohort,Cohort Total Count,College,Gender,Geographic Area,N,% of Col1,% of Pop
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Central Coast,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Foreign Countries,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Los Angeles,14,14,14
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Other CA Counties,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Other US States,8,8,8
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Sacramento Area,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,San Diego,7,7,7
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,San Francisco Bay Area,17,17,17
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,San Joaquin,3,3,3
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Central Coast,12,12,12
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Foreign Countries,5,5,5
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Los Angeles,29,29,29
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Other CA Counties,5,5,5
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Other US States,55,55,55
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Sacramento Area,14,14,14
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,San Diego,6,6,6
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,San Francisco Bay Area,66,66,66
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,San Joaquin,6,6,6
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Foreign Countries,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Los Angeles,15,15,15
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Other CA Counties,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Other US States,14,14,14
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Sacramento Area,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,San Diego,7,7,7
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,San Francisco Bay Area,29,29,29
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,San Joaquin,3,3,3
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Central Coast,20,20,20
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Foreign Countries,7,7,7
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Los Angeles,49,49,49
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Other CA Counties,12,12,12
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Other US States,69,69,69
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Sacramento Area,20,20,20
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,San Diego,20,20,20
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,San Francisco Bay Area,76,76,76
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,San Joaquin,23,23,23
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Central Coast,2,2,2
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Foreign Countries,6,6,6
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Los Angeles,5,5,5
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Other CA Counties,2,2,2
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Other US States,14,14,14
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Sacramento Area,7,7,7
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,San Diego,4,4,4
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,San Francisco Bay Area,7,7,7
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,San Joaquin,3,3,3
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Central Coast,11,11,11
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Foreign Countries,10,10,10
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Los Angeles,29,29,29
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Other CA Counties,4,4,4
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Other US States,45,45,45
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Sacramento Area,15,15,15
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,San Diego,5,5,5
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,San Francisco Bay Area,49,49,49
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,San Joaquin,12,12,12
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Central Coast,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Foreign Countries,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Los Angeles,13,13,13
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Other CA Counties,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Other US States,17,17,17
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Sacramento Area,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,San Diego,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,San Francisco Bay Area,10,10,10
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,San Joaquin,6,6,6
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Central Coast,16,16,16
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Foreign Countries,10,10,10
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Los Angeles,27,27,27
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Other CA Counties,4,4,4
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Other US States,72,72,72
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Sacramento Area,8,8,8
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,San Diego,6,6,6
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,San Francisco Bay Area,43,43,43
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,San Joaquin,14,14,14
First-Time Freshmen Fall 2019,4599,College of Engineering,Other,Los Angeles,1,1,1
New Transfers Fall 2017,851,College of Engineering,Female,Central Coast,2,2,2
New Transfers Fall 2017,851,College of Engineering,Female,Foreign Countries,1,1,1
New Transfers Fall 2017,851,College of Engineering,Female,Los Angeles,2,2,2
New Transfers Fall 2017,851,College of Engineering,Female,Other US States,1,1,1
New Transfers Fall 2017,851,College of Engineering,Female,Sacramento Area,1,1,1
New Transfers Fall 2017,851,College of Engineering,Female,San Francisco Bay Area,6,6,6
New Transfers Fall 2017,851,College of Engineering,Male,Central Coast,21,21,21
New Transfers Fall 2017,851,College of Engineering,Male,Foreign Countries,1,1,1
New Transfers Fall 2017,851,College of Engineering,Male,Los Angeles,7,7,7
New Transfers Fall 2017,851,College of Engineering,Male,Other CA Counties,1,1,1
New Transfers Fall 2017,851,College of Engineering,Male,Other US States,2,2,2
New Transfers Fall 2017,851,College of Engineering,Male,San Diego,1,1,1
New Transfers Fall 2017,851,College of Engineering,Male,San Francisco Bay Area,8,8,8
New Transfers Fall 2017,851,College of Engineering,Male,San Joaquin,5,5,5
New Transfers Fall 2018,834,College of Engineering,Female,Foreign Countries,1,1,1
New Transfers Fall 2018,834,College of Engineering,Female,Los Angeles,1,1,1
New Transfers Fall 2018,834,College of Engineering,Female,San Francisco Bay Area,3,3,3
New Transfers Fall 2018,834,College of Engineering,Male,Central Coast,12,12,12
New Transfers Fall 2018,834,College of Engineering,Male,Foreign Countries,1,1,1
New Transfers Fall 2018,834,College of Engineering,Male,Los Angeles,4,4,4
New Transfers Fall 2018,834,College of Engineering,Male,Other CA Counties,2,2,2
New Transfers Fall 2018,834,College of Engineering,Male,Other US States,1,1,1
New Transfers Fall 2018,834,College of Engineering,Male,Sacramento Area,3,3,3
New Transfers Fall 2018,834,College of Engineering,Male,San Diego,1,1,1
New Transfers Fall 2018,834,College of Engineering,Male,San Francisco Bay Area,3,3,3
New Transfers Fall 2018,834,College of Engineering,Male,San Joaquin,1,1,1
New Transfers Fall 2019,753,College of Engineering,Female,Central Coast,3,3,3
New Transfers Fall 2019,753,College of Engineering,Female,Foreign Countries,3,3,3
New Transfers Fall 2019,753,College of Engineering,Female,Other US States,1,1,1
New Transfers Fall 2019,753,College of Engineering,Female,San Francisco Bay Area,1,1,1
New Transfers Fall 2019,753,College of Engineering,Male,Central Coast,9,9,9
New Transfers Fall 2019,753,College of Engineering,Male,Foreign Countries,1,1,1
New Transfers Fall 2019,753,College of Engineering,Male,Los Angeles,2,2,2
New Transfers Fall 2019,753,College of Engineering,Male,Other US States,1,1,1
New Transfers Fall 2019,753,College of Engineering,Male,San Francisco Bay Area,4,4,4
New Transfers Fall 2019,753,College of Engineering,Male,San Joaquin,2,2,2