Boy names,Num Births,Race,Girl names,Num births,Race
Daniel,4340,White,Emily,5916,White
Anthony,3837,White,Ashley,5662,White
Jose,3803,Hispanic,Samantha,5158,White
Andrew,3599,White,Jessica,4968,White
Michael,3569,White,Jennifer,4526,White
Jacob,3519,White,Alyssa,4010,White
Joshua,3356,White,Alexis,3728,White
Christopher,3333,White,Sarah,3708,White
David,3278,White,Hannah,3706,White
Matthew,3254,White,Elizabeth,3696,White
Jonathan,2990,White,Vanessa,3270,White
Joseph,2779,White,Jasmine,3222,Asian
Brandon,2614,White,Stephanie,3194,White
Nicholas,2587,White,Natalie,3178,White
Ryan,2556,White,Jacqueline,3120,Hispanic
Christian,2434,White,Maria,2940,Hispanic
Kevin,2356,Asian,Brianna,2902,White
Angel,2326,Hispanic,Madison,2880,White
Luis,2285,Hispanic,Andrea,2834,White
Juan,2222,Hispanic,Kimberly,2802,White
Alexander,2180,Hispanic,Lauren,2792,White
Justin,2163,White,Michelle,2730,White
Jesus,1891,Hispanic,Victoria,2578,White
Carlos,1786,Hispanic,Destiny,2398,White
Brian,1740,White,Nicole,2342,White
Nathan,1735,White,Melissa,2308,White
William,1695,White,Leslie,2306,White
Gabriel,1669,White,Kayla,2268,White
John,1659,White,Amanda,2266,White
Tyler,1655,White,Sophia,2246,White
Adrian,1593,White,Taylor,2200,White
Jason,1552,Asian,Megan,2180,White
Bryan,1549,White,Alexandra,2090,White
Ethan,1529,White,Isabella,2080,White
Robert,1528,White,Emma,2078,White
Miguel,1485,Hispanic,Rachel,2032,White
James,1478,White,Grace,2030,Asian
Eric,1464,White,Julia,2014,White
Alejandro,1464,Hispanic,Abigail,2000,White
Zachary,1437,White,Katherine,1994,White
Benjamin,1434,White,Diana,1964,White
Dylan,1425,White,Olivia,1932,White
Samuel,1420,White,Jocelyn,1732,White
Noah,1391,White,Angela,1666,White
Aaron,1363,White,Sydney,1662,White
Isaac,1297,Asian,Hailey,1648,White
Isaiah,1232,White,Daisy,1644,White
Sebastian,1231,White,Chloe,1578,White
Jordan,1216,White,Rebecca,1540,White
Kyle,1213,White,Isabel,1510,White
Steven,1212,White,Savannah,1510,White
Eduardo,1168,Hispanic,Gabriela,1448,White
Victor,1155,White,Briana,1412,White
Jorge,1106,Hispanic,Kaitlyn,1404,White
Julian,1092,Hispanic,Danielle,1400,White
Oscar,1089,White,Evelyn,1392,White
Thomas,1061,White,Anna,1388,White
Cameron,1053,White,Alejandra,1388,Hispanic
Austin,1010,White,Karina,1356,White
Richard,1001,White,Sara,1354,White
Ricardo,965,Hispanic,Alondra,1336,Hispanic
Francisco,963,Hispanic,Adriana,1324,White
Alex,942,White,Haley,1316,White
Diego,927,Hispanic,Ariana,1276,White
Fernando,922,Hispanic,Daniela,1266,Hispanic
Jack,906,White,Angelica,1264,Hispanic
Adam,906,White,Valerie,1264,White
Antonio,904,Hispanic,Melanie,1260,White
Alexis,904,White,Brenda,1258,White
Elijah,893,White,Amy,1258,Asian
Jesse,851,White,Crystal,1252,White
Sean,841,White,Sabrina,1248,White
Manuel,834,Hispanic,Esmeralda,1218,Hispanic
Andres,828,Hispanic,Sierra,1210,White
Jared,805,White,Cynthia,1204,Asian
Cesar,799,Hispanic,Marissa,1202,White
Ivan,791,White,Ana,1180,White
Nathaniel,755,White,Karen,1168,White
Evan,737,White,Erika,1150,White
Omar,731,White,Giselle,1146,White
Mark,714,White,Christina,1134,White
Sergio,709,Hispanic,Mia,1112,White
Javier,703,Hispanic,Amber,1108,White
Hunter,671,White,Guadalupe,1098,Hispanic
Cristian,671,White,Tiffany,1088,Asian
Edgar,648,White,Maya,1088,White
Connor,644,White,Allison,1076,White
Ian,644,White,Catherine,1076,White
Timothy,642,White,Mariah,1068,White
Gerardo,637,White,Monica,1046,White
Mario,630,White,Kelly,1042,White
Hector,617,Hispanic,Madeline,1026,White
Roberto,616,Hispanic,Jasmin,1012,Asian
Cole,614,White,Morgan,998,White
Erick,611,White,Sofia,992,White
Logan,608,White,Cassandra,988,White
Erik,605,White,Laura,984,White
Vincent,602,White,Alexa,982,White
Ruben,594,White,Valeria,974,White
Luke,592,White,Veronica,974,White